Reference Area,Reference Period,Indicator,Sex,Measure Type,Value
Scotland,2009,"Length of time since last visit to the dentist: More than 2 years, up to 5 years ago",All,Percent,8
Scotland,2009,"Length of time since last visit to the dentist: More than 2 years, up to 5 years ago",All,95% Lower Confidence Limit,6.4
Scotland,2009,"Length of time since last visit to the dentist: More than 2 years, up to 5 years ago",All,95% Upper Confidence Limit,9
Scotland,2009,"Length of time since last visit to the dentist: More than 2 years, up to 5 years ago",Female,Percent,8
Scotland,2009,"Length of time since last visit to the dentist: More than 2 years, up to 5 years ago",Female,95% Lower Confidence Limit,6.1
Scotland,2009,"Length of time since last visit to the dentist: More than 2 years, up to 5 years ago",Female,95% Upper Confidence Limit,8.9
Scotland,2009,"Length of time since last visit to the dentist: More than 2 years, up to 5 years ago",Male,Percent,8
Scotland,2009,"Length of time since last visit to the dentist: More than 2 years, up to 5 years ago",Male,95% Lower Confidence Limit,6
Scotland,2009,"Length of time since last visit to the dentist: More than 2 years, up to 5 years ago",Male,95% Upper Confidence Limit,9.8
Scotland,2009,Length of time since last visit to the dentist: More than 5 years ago,All,Percent,12
Scotland,2009,Length of time since last visit to the dentist: More than 5 years ago,All,95% Lower Confidence Limit,10.8
Scotland,2009,Length of time since last visit to the dentist: More than 5 years ago,All,95% Upper Confidence Limit,13.9
Scotland,2009,Length of time since last visit to the dentist: More than 5 years ago,Female,Percent,10
Scotland,2009,Length of time since last visit to the dentist: More than 5 years ago,Female,95% Lower Confidence Limit,8.7
Scotland,2009,Length of time since last visit to the dentist: More than 5 years ago,Female,95% Upper Confidence Limit,12
Scotland,2009,Length of time since last visit to the dentist: More than 5 years ago,Male,Percent,15
Scotland,2009,Length of time since last visit to the dentist: More than 5 years ago,Male,95% Lower Confidence Limit,12.2
Scotland,2009,Length of time since last visit to the dentist: More than 5 years ago,Male,95% Upper Confidence Limit,16.8
Scotland,2009,Length of time since last visit to the dentist: Never been to the dentist,All,Percent,1
Scotland,2009,Length of time since last visit to the dentist: Never been to the dentist,All,95% Lower Confidence Limit,0.2
Scotland,2009,Length of time since last visit to the dentist: Never been to the dentist,All,95% Upper Confidence Limit,0.8
Scotland,2009,Length of time since last visit to the dentist: Never been to the dentist,Female,Percent,0
Scotland,2009,Length of time since last visit to the dentist: Never been to the dentist,Female,95% Lower Confidence Limit,0.1
Scotland,2009,Length of time since last visit to the dentist: Never been to the dentist,Female,95% Upper Confidence Limit,0.7
Scotland,2009,Length of time since last visit to the dentist: Never been to the dentist,Male,Percent,1
Scotland,2009,Length of time since last visit to the dentist: Never been to the dentist,Male,95% Lower Confidence Limit,0.2
Scotland,2009,Length of time since last visit to the dentist: Never been to the dentist,Male,95% Upper Confidence Limit,1.1
Scotland,2009,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,Percent,31
Scotland,2009,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,95% Lower Confidence Limit,29.6
Scotland,2009,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,95% Upper Confidence Limit,32.5
Scotland,2009,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,Percent,32
Scotland,2009,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,95% Lower Confidence Limit,29.9
Scotland,2009,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,95% Upper Confidence Limit,33.4
Scotland,2009,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,Percent,30
Scotland,2009,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,95% Lower Confidence Limit,28.6
Scotland,2009,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,95% Upper Confidence Limit,32.4
Scotland,2009,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,Percent,38
Scotland,2009,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,95% Lower Confidence Limit,36.2
Scotland,2009,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,95% Upper Confidence Limit,39.3
Scotland,2009,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,Percent,37
Scotland,2009,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,95% Lower Confidence Limit,34.9
Scotland,2009,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,95% Upper Confidence Limit,38.5
Scotland,2009,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,Percent,39
Scotland,2009,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,95% Lower Confidence Limit,36.8
Scotland,2009,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,95% Upper Confidence Limit,40.9
Scotland,2009,Life satisfaction: Mode (8),All,Percent,31
Scotland,2009,Life satisfaction: Mode (8),All,95% Lower Confidence Limit,29.8
Scotland,2009,Life satisfaction: Mode (8),All,95% Upper Confidence Limit,32.5
Scotland,2009,Life satisfaction: Mode (8),Female,Percent,32
Scotland,2009,Life satisfaction: Mode (8),Female,95% Lower Confidence Limit,30
Scotland,2009,Life satisfaction: Mode (8),Female,95% Upper Confidence Limit,33.3
Scotland,2009,Life satisfaction: Mode (8),Male,Percent,31
Scotland,2009,Life satisfaction: Mode (8),Male,95% Lower Confidence Limit,28.7
Scotland,2009,Life satisfaction: Mode (8),Male,95% Upper Confidence Limit,32.5
Scotland,2009,Long-term illness (children): Limiting long-term illness,All,Percent,6
Scotland,2009,Long-term illness (children): Limiting long-term illness,All,95% Lower Confidence Limit,5.4
Scotland,2009,Long-term illness (children): Limiting long-term illness,All,95% Upper Confidence Limit,7.5
Scotland,2009,Long-term illness (children): Limiting long-term illness,Female,Percent,6
Scotland,2009,Long-term illness (children): Limiting long-term illness,Female,95% Lower Confidence Limit,4.2
Scotland,2009,Long-term illness (children): Limiting long-term illness,Female,95% Upper Confidence Limit,7
Scotland,2009,Long-term illness (children): Limiting long-term illness,Male,Percent,7
Scotland,2009,Long-term illness (children): Limiting long-term illness,Male,95% Lower Confidence Limit,5.8
Scotland,2009,Long-term illness (children): Limiting long-term illness,Male,95% Upper Confidence Limit,8.9
Scotland,2009,Long-term illness (children): No long-term illness,All,Percent,84
Scotland,2009,Long-term illness (children): No long-term illness,All,95% Lower Confidence Limit,82.4
Scotland,2009,Long-term illness (children): No long-term illness,All,95% Upper Confidence Limit,85.7
Scotland,2009,Long-term illness (children): No long-term illness,Female,Percent,86
Scotland,2009,Long-term illness (children): No long-term illness,Female,95% Lower Confidence Limit,84.5
Scotland,2009,Long-term illness (children): No long-term illness,Female,95% Upper Confidence Limit,88.5
Scotland,2009,Long-term illness (children): No long-term illness,Male,Percent,82
Scotland,2009,Long-term illness (children): No long-term illness,Male,95% Lower Confidence Limit,79.4
Scotland,2009,Long-term illness (children): No long-term illness,Male,95% Upper Confidence Limit,84.2
Scotland,2009,Long-term illness (children): Non-limiting long-term illness,All,Percent,9
Scotland,2009,Long-term illness (children): Non-limiting long-term illness,All,95% Lower Confidence Limit,8.2
Scotland,2009,Long-term illness (children): Non-limiting long-term illness,All,95% Upper Confidence Limit,10.7
Scotland,2009,Long-term illness (children): Non-limiting long-term illness,Female,Percent,8
Scotland,2009,Long-term illness (children): Non-limiting long-term illness,Female,95% Lower Confidence Limit,6.3
Scotland,2009,Long-term illness (children): Non-limiting long-term illness,Female,95% Upper Confidence Limit,9.5
Scotland,2009,Long-term illness (children): Non-limiting long-term illness,Male,Percent,11
Scotland,2009,Long-term illness (children): Non-limiting long-term illness,Male,95% Lower Confidence Limit,9
Scotland,2009,Long-term illness (children): Non-limiting long-term illness,Male,95% Upper Confidence Limit,12.7
Scotland,2009,Long-term illness: Limiting long-term illness,All,Percent,25
Scotland,2009,Long-term illness: Limiting long-term illness,All,95% Lower Confidence Limit,24
Scotland,2009,Long-term illness: Limiting long-term illness,All,95% Upper Confidence Limit,26.5
Scotland,2009,Long-term illness: Limiting long-term illness,Female,Percent,27
Scotland,2009,Long-term illness: Limiting long-term illness,Female,95% Lower Confidence Limit,25.6
Scotland,2009,Long-term illness: Limiting long-term illness,Female,95% Upper Confidence Limit,28.6
Scotland,2009,Long-term illness: Limiting long-term illness,Male,Percent,23
Scotland,2009,Long-term illness: Limiting long-term illness,Male,95% Lower Confidence Limit,21.7
Scotland,2009,Long-term illness: Limiting long-term illness,Male,95% Upper Confidence Limit,24.9
Scotland,2009,Long-term illness: No long-term illness,All,Percent,60
Scotland,2009,Long-term illness: No long-term illness,All,95% Lower Confidence Limit,58.9
Scotland,2009,Long-term illness: No long-term illness,All,95% Upper Confidence Limit,61.8
Scotland,2009,Long-term illness: No long-term illness,Female,Percent,58
Scotland,2009,Long-term illness: No long-term illness,Female,95% Lower Confidence Limit,56.3
Scotland,2009,Long-term illness: No long-term illness,Female,95% Upper Confidence Limit,59.8
Scotland,2009,Long-term illness: No long-term illness,Male,Percent,63
Scotland,2009,Long-term illness: No long-term illness,Male,95% Lower Confidence Limit,60.9
Scotland,2009,Long-term illness: No long-term illness,Male,95% Upper Confidence Limit,64.8
Scotland,2009,Long-term illness: Non-limiting long-term illness,All,Percent,14
Scotland,2009,Long-term illness: Non-limiting long-term illness,All,95% Lower Confidence Limit,13.4
Scotland,2009,Long-term illness: Non-limiting long-term illness,All,95% Upper Confidence Limit,15.4
Scotland,2009,Long-term illness: Non-limiting long-term illness,Female,Percent,15
Scotland,2009,Long-term illness: Non-limiting long-term illness,Female,95% Lower Confidence Limit,13.6
Scotland,2009,Long-term illness: Non-limiting long-term illness,Female,95% Upper Confidence Limit,16.1
Scotland,2009,Long-term illness: Non-limiting long-term illness,Male,Percent,14
Scotland,2009,Long-term illness: Non-limiting long-term illness,Male,95% Lower Confidence Limit,12.5
Scotland,2009,Long-term illness: Non-limiting long-term illness,Male,95% Upper Confidence Limit,15.3
Scotland,2009,Number of natural teeth (including crowns): 20 or more,All,Percent,71
Scotland,2009,Number of natural teeth (including crowns): 20 or more,All,95% Lower Confidence Limit,69.7
Scotland,2009,Number of natural teeth (including crowns): 20 or more,All,95% Upper Confidence Limit,72.5
Scotland,2009,Number of natural teeth (including crowns): 20 or more,Female,Percent,70
Scotland,2009,Number of natural teeth (including crowns): 20 or more,Female,95% Lower Confidence Limit,68.3
Scotland,2009,Number of natural teeth (including crowns): 20 or more,Female,95% Upper Confidence Limit,71.4
Scotland,2009,Number of natural teeth (including crowns): 20 or more,Male,Percent,72
Scotland,2009,Number of natural teeth (including crowns): 20 or more,Male,95% Lower Confidence Limit,70.6
Scotland,2009,Number of natural teeth (including crowns): 20 or more,Male,95% Upper Confidence Limit,74.3
Scotland,2009,Number of natural teeth (including crowns): Between 10 and 19,All,Percent,12
Scotland,2009,Number of natural teeth (including crowns): Between 10 and 19,All,95% Lower Confidence Limit,11.4
Scotland,2009,Number of natural teeth (including crowns): Between 10 and 19,All,95% Upper Confidence Limit,13.1
Scotland,2009,Number of natural teeth (including crowns): Between 10 and 19,Female,Percent,12
Scotland,2009,Number of natural teeth (including crowns): Between 10 and 19,Female,95% Lower Confidence Limit,11
Scotland,2009,Number of natural teeth (including crowns): Between 10 and 19,Female,95% Upper Confidence Limit,13
Scotland,2009,Number of natural teeth (including crowns): Between 10 and 19,Male,Percent,12
Scotland,2009,Number of natural teeth (including crowns): Between 10 and 19,Male,95% Lower Confidence Limit,11.2
Scotland,2009,Number of natural teeth (including crowns): Between 10 and 19,Male,95% Upper Confidence Limit,13.7
Scotland,2009,Number of natural teeth (including crowns): Fewer than 10,All,Percent,5
Scotland,2009,Number of natural teeth (including crowns): Fewer than 10,All,95% Lower Confidence Limit,4.4
Scotland,2009,Number of natural teeth (including crowns): Fewer than 10,All,95% Upper Confidence Limit,5.4
Scotland,2009,Number of natural teeth (including crowns): Fewer than 10,Female,Percent,4
Scotland,2009,Number of natural teeth (including crowns): Fewer than 10,Female,95% Lower Confidence Limit,3.5
Scotland,2009,Number of natural teeth (including crowns): Fewer than 10,Female,95% Upper Confidence Limit,4.7
Scotland,2009,Number of natural teeth (including crowns): Fewer than 10,Male,Percent,6
Scotland,2009,Number of natural teeth (including crowns): Fewer than 10,Male,95% Lower Confidence Limit,4.9
Scotland,2009,Number of natural teeth (including crowns): Fewer than 10,Male,95% Upper Confidence Limit,6.6
Scotland,2009,Number of natural teeth (including crowns): No natural teeth,All,Percent,12
Scotland,2009,Number of natural teeth (including crowns): No natural teeth,All,95% Lower Confidence Limit,10.9
Scotland,2009,Number of natural teeth (including crowns): No natural teeth,All,95% Upper Confidence Limit,12.7
Scotland,2009,Number of natural teeth (including crowns): No natural teeth,Female,Percent,14
Scotland,2009,Number of natural teeth (including crowns): No natural teeth,Female,95% Lower Confidence Limit,12.9
Scotland,2009,Number of natural teeth (including crowns): No natural teeth,Female,95% Upper Confidence Limit,15.2
Scotland,2009,Number of natural teeth (including crowns): No natural teeth,Male,Percent,9
Scotland,2009,Number of natural teeth (including crowns): No natural teeth,Male,95% Lower Confidence Limit,8.3
Scotland,2009,Number of natural teeth (including crowns): No natural teeth,Male,95% Upper Confidence Limit,10.4
Scotland,2009,Obesity: Not obese,All,Percent,72
Scotland,2009,Obesity: Not obese,All,95% Lower Confidence Limit,71
Scotland,2009,Obesity: Not obese,All,95% Upper Confidence Limit,73.7
Scotland,2009,Obesity: Not obese,Female,Percent,72
Scotland,2009,Obesity: Not obese,Female,95% Lower Confidence Limit,70.5
Scotland,2009,Obesity: Not obese,Female,95% Upper Confidence Limit,74.1
Scotland,2009,Obesity: Not obese,Male,Percent,72
Scotland,2009,Obesity: Not obese,Male,95% Lower Confidence Limit,70.5
Scotland,2009,Obesity: Not obese,Male,95% Upper Confidence Limit,74.3
Scotland,2009,Obesity: Obese,All,Percent,28
Scotland,2009,Obesity: Obese,All,95% Lower Confidence Limit,26.3
Scotland,2009,Obesity: Obese,All,95% Upper Confidence Limit,29
Scotland,2009,Obesity: Obese,Female,Percent,28
Scotland,2009,Obesity: Obese,Female,95% Lower Confidence Limit,25.9
Scotland,2009,Obesity: Obese,Female,95% Upper Confidence Limit,29.5
Scotland,2009,Obesity: Obese,Male,Percent,28
Scotland,2009,Obesity: Obese,Male,95% Lower Confidence Limit,25.7
Scotland,2009,Obesity: Obese,Male,95% Upper Confidence Limit,29.5
Scotland,2009,Overweight: Not overweight or obese,All,Percent,35
Scotland,2009,Overweight: Not overweight or obese,All,95% Lower Confidence Limit,33.9
Scotland,2009,Overweight: Not overweight or obese,All,95% Upper Confidence Limit,36.8
Scotland,2009,Overweight: Not overweight or obese,Female,Percent,39
Scotland,2009,Overweight: Not overweight or obese,Female,95% Lower Confidence Limit,37
Scotland,2009,Overweight: Not overweight or obese,Female,95% Upper Confidence Limit,40.8
Scotland,2009,Overweight: Not overweight or obese,Male,Percent,32
Scotland,2009,Overweight: Not overweight or obese,Male,95% Lower Confidence Limit,29.5
Scotland,2009,Overweight: Not overweight or obese,Male,95% Upper Confidence Limit,34
Scotland,2009,Overweight: Overweight (including obese),All,Percent,65
Scotland,2009,Overweight: Overweight (including obese),All,95% Lower Confidence Limit,63.2
Scotland,2009,Overweight: Overweight (including obese),All,95% Upper Confidence Limit,66.1
Scotland,2009,Overweight: Overweight (including obese),Female,Percent,61
Scotland,2009,Overweight: Overweight (including obese),Female,95% Lower Confidence Limit,59.2
Scotland,2009,Overweight: Overweight (including obese),Female,95% Upper Confidence Limit,63
Scotland,2009,Overweight: Overweight (including obese),Male,Percent,68
Scotland,2009,Overweight: Overweight (including obese),Male,95% Lower Confidence Limit,66
Scotland,2009,Overweight: Overweight (including obese),Male,95% Upper Confidence Limit,70.5
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: No",All,Percent,88
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: No",All,95% Lower Confidence Limit,87
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: No",All,95% Upper Confidence Limit,89
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: No",Female,Percent,86
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: No",Female,95% Lower Confidence Limit,84.6
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: No",Female,95% Upper Confidence Limit,87.2
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: No",Male,Percent,90
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: No",Male,95% Lower Confidence Limit,89
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: No",Male,95% Upper Confidence Limit,91.4
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: Yes",All,Percent,12
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: Yes",All,95% Lower Confidence Limit,11
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: Yes",All,95% Upper Confidence Limit,13
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female,Percent,14
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female,95% Lower Confidence Limit,12.8
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female,95% Upper Confidence Limit,15.4
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: Yes",Male,Percent,10
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: Yes",Male,95% Lower Confidence Limit,8.6
Scotland,2009,"Provide any regular help or care for any sick, disabled or frail person: Yes",Male,95% Upper Confidence Limit,11
Scotland,2009,Self-assessed general health (children): Bad/Very bad,All,Percent,1
Scotland,2009,Self-assessed general health (children): Bad/Very bad,All,95% Lower Confidence Limit,0.2
Scotland,2009,Self-assessed general health (children): Bad/Very bad,All,95% Upper Confidence Limit,0.9
Scotland,2009,Self-assessed general health (children): Bad/Very bad,Female,Percent,1
Scotland,2009,Self-assessed general health (children): Bad/Very bad,Female,95% Lower Confidence Limit,0.1
Scotland,2009,Self-assessed general health (children): Bad/Very bad,Female,95% Upper Confidence Limit,1.4
Scotland,2009,Self-assessed general health (children): Bad/Very bad,Male,Percent,0
Scotland,2009,Self-assessed general health (children): Bad/Very bad,Male,95% Lower Confidence Limit,0
Scotland,2009,Self-assessed general health (children): Bad/Very bad,Male,95% Upper Confidence Limit,0.7
Scotland,2009,Self-assessed general health (children): Fair,All,Percent,4
Scotland,2009,Self-assessed general health (children): Fair,All,95% Lower Confidence Limit,3.3
Scotland,2009,Self-assessed general health (children): Fair,All,95% Upper Confidence Limit,4.9
Scotland,2009,Self-assessed general health (children): Fair,Female,Percent,4
Scotland,2009,Self-assessed general health (children): Fair,Female,95% Lower Confidence Limit,3.2
Scotland,2009,Self-assessed general health (children): Fair,Female,95% Upper Confidence Limit,5.5
Scotland,2009,Self-assessed general health (children): Fair,Male,Percent,4
Scotland,2009,Self-assessed general health (children): Fair,Male,95% Lower Confidence Limit,2.8
Scotland,2009,Self-assessed general health (children): Fair,Male,95% Upper Confidence Limit,5
Scotland,2009,Self-assessed general health (children): Very good/Good,All,Percent,95
Scotland,2009,Self-assessed general health (children): Very good/Good,All,95% Lower Confidence Limit,94.5
Scotland,2009,Self-assessed general health (children): Very good/Good,All,95% Upper Confidence Limit,96.2
Scotland,2009,Self-assessed general health (children): Very good/Good,Female,Percent,95
Scotland,2009,Self-assessed general health (children): Very good/Good,Female,95% Lower Confidence Limit,93.5
Scotland,2009,Self-assessed general health (children): Very good/Good,Female,95% Upper Confidence Limit,96.2
Scotland,2009,Self-assessed general health (children): Very good/Good,Male,Percent,96
Scotland,2009,Self-assessed general health (children): Very good/Good,Male,95% Lower Confidence Limit,94.6
Scotland,2009,Self-assessed general health (children): Very good/Good,Male,95% Upper Confidence Limit,96.9
Scotland,2009,Self-assessed general health: Bad/Very bad,All,Percent,7
Scotland,2009,Self-assessed general health: Bad/Very bad,All,95% Lower Confidence Limit,6.2
Scotland,2009,Self-assessed general health: Bad/Very bad,All,95% Upper Confidence Limit,7.5
Scotland,2009,Self-assessed general health: Bad/Very bad,Female,Percent,7
Scotland,2009,Self-assessed general health: Bad/Very bad,Female,95% Lower Confidence Limit,6.1
Scotland,2009,Self-assessed general health: Bad/Very bad,Female,95% Upper Confidence Limit,7.7
Scotland,2009,Self-assessed general health: Bad/Very bad,Male,Percent,7
Scotland,2009,Self-assessed general health: Bad/Very bad,Male,95% Lower Confidence Limit,6
Scotland,2009,Self-assessed general health: Bad/Very bad,Male,95% Upper Confidence Limit,7.7
Scotland,2009,Self-assessed general health: Fair,All,Percent,16
Scotland,2009,Self-assessed general health: Fair,All,95% Lower Confidence Limit,15.4
Scotland,2009,Self-assessed general health: Fair,All,95% Upper Confidence Limit,17.4
Scotland,2009,Self-assessed general health: Fair,Female,Percent,17
Scotland,2009,Self-assessed general health: Fair,Female,95% Lower Confidence Limit,15.3
Scotland,2009,Self-assessed general health: Fair,Female,95% Upper Confidence Limit,17.8
Scotland,2009,Self-assessed general health: Fair,Male,Percent,16
Scotland,2009,Self-assessed general health: Fair,Male,95% Lower Confidence Limit,14.8
Scotland,2009,Self-assessed general health: Fair,Male,95% Upper Confidence Limit,17.7
Scotland,2009,Self-assessed general health: Very good/Good,All,Percent,77
Scotland,2009,Self-assessed general health: Very good/Good,All,95% Lower Confidence Limit,75.5
Scotland,2009,Self-assessed general health: Very good/Good,All,95% Upper Confidence Limit,77.9
Scotland,2009,Self-assessed general health: Very good/Good,Female,Percent,77
Scotland,2009,Self-assessed general health: Very good/Good,Female,95% Lower Confidence Limit,75.1
Scotland,2009,Self-assessed general health: Very good/Good,Female,95% Upper Confidence Limit,78
Scotland,2009,Self-assessed general health: Very good/Good,Male,Percent,77
Scotland,2009,Self-assessed general health: Very good/Good,Male,95% Lower Confidence Limit,75.3
Scotland,2009,Self-assessed general health: Very good/Good,Male,95% Upper Confidence Limit,78.6
Scotland,2009,Smoking status: Current smoker,All,Percent,25
Scotland,2009,Smoking status: Current smoker,All,95% Lower Confidence Limit,23.5
Scotland,2009,Smoking status: Current smoker,All,95% Upper Confidence Limit,26.5
Scotland,2009,Smoking status: Current smoker,Female,Percent,25
Scotland,2009,Smoking status: Current smoker,Female,95% Lower Confidence Limit,22.9
Scotland,2009,Smoking status: Current smoker,Female,95% Upper Confidence Limit,26.3
Scotland,2009,Smoking status: Current smoker,Male,Percent,25
Scotland,2009,Smoking status: Current smoker,Male,95% Lower Confidence Limit,23.4
Scotland,2009,Smoking status: Current smoker,Male,95% Upper Confidence Limit,27.5
Scotland,2009,Smoking status: Never smoked/Used to smoke occasionally,All,Percent,53
Scotland,2009,Smoking status: Never smoked/Used to smoke occasionally,All,95% Lower Confidence Limit,51.6
Scotland,2009,Smoking status: Never smoked/Used to smoke occasionally,All,95% Upper Confidence Limit,54.8
Scotland,2009,Smoking status: Never smoked/Used to smoke occasionally,Female,Percent,55
Scotland,2009,Smoking status: Never smoked/Used to smoke occasionally,Female,95% Lower Confidence Limit,53.5
Scotland,2009,Smoking status: Never smoked/Used to smoke occasionally,Female,95% Upper Confidence Limit,57.4
Scotland,2009,Smoking status: Never smoked/Used to smoke occasionally,Male,Percent,51
Scotland,2009,Smoking status: Never smoked/Used to smoke occasionally,Male,95% Lower Confidence Limit,48.4
Scotland,2009,Smoking status: Never smoked/Used to smoke occasionally,Male,95% Upper Confidence Limit,53
Scotland,2009,Smoking status: Used to smoke regularly,All,Percent,22
Scotland,2009,Smoking status: Used to smoke regularly,All,95% Lower Confidence Limit,20.6
Scotland,2009,Smoking status: Used to smoke regularly,All,95% Upper Confidence Limit,22.9
Scotland,2009,Smoking status: Used to smoke regularly,Female,Percent,20
Scotland,2009,Smoking status: Used to smoke regularly,Female,95% Lower Confidence Limit,18.6
Scotland,2009,Smoking status: Used to smoke regularly,Female,95% Upper Confidence Limit,21.2
Scotland,2009,Smoking status: Used to smoke regularly,Male,Percent,24
Scotland,2009,Smoking status: Used to smoke regularly,Male,95% Lower Confidence Limit,22.2
Scotland,2009,Smoking status: Used to smoke regularly,Male,95% Upper Confidence Limit,25.6
Scotland,2009,Thinks would need dental treatment: No,All,Percent,55
Scotland,2009,Thinks would need dental treatment: No,All,95% Lower Confidence Limit,53.5
Scotland,2009,Thinks would need dental treatment: No,All,95% Upper Confidence Limit,56.7
Scotland,2009,Thinks would need dental treatment: No,Female,Percent,56
Scotland,2009,Thinks would need dental treatment: No,Female,95% Lower Confidence Limit,54.5
Scotland,2009,Thinks would need dental treatment: No,Female,95% Upper Confidence Limit,58.4
Scotland,2009,Thinks would need dental treatment: No,Male,Percent,54
Scotland,2009,Thinks would need dental treatment: No,Male,95% Lower Confidence Limit,51.5
Scotland,2009,Thinks would need dental treatment: No,Male,95% Upper Confidence Limit,55.7
Scotland,2009,Thinks would need dental treatment: No natural teeth,All,Percent,12
Scotland,2009,Thinks would need dental treatment: No natural teeth,All,95% Lower Confidence Limit,11
Scotland,2009,Thinks would need dental treatment: No natural teeth,All,95% Upper Confidence Limit,12.8
Scotland,2009,Thinks would need dental treatment: No natural teeth,Female,Percent,14
Scotland,2009,Thinks would need dental treatment: No natural teeth,Female,95% Lower Confidence Limit,12.9
Scotland,2009,Thinks would need dental treatment: No natural teeth,Female,95% Upper Confidence Limit,15.3
Scotland,2009,Thinks would need dental treatment: No natural teeth,Male,Percent,9
Scotland,2009,Thinks would need dental treatment: No natural teeth,Male,95% Lower Confidence Limit,8.4
Scotland,2009,Thinks would need dental treatment: No natural teeth,Male,95% Upper Confidence Limit,10.5
Scotland,2009,Thinks would need dental treatment: Yes,All,Percent,33
Scotland,2009,Thinks would need dental treatment: Yes,All,95% Lower Confidence Limit,31.6
Scotland,2009,Thinks would need dental treatment: Yes,All,95% Upper Confidence Limit,34.4
Scotland,2009,Thinks would need dental treatment: Yes,Female,Percent,29
Scotland,2009,Thinks would need dental treatment: Yes,Female,95% Lower Confidence Limit,27.7
Scotland,2009,Thinks would need dental treatment: Yes,Female,95% Upper Confidence Limit,31
Scotland,2009,Thinks would need dental treatment: Yes,Male,Percent,37
Scotland,2009,Thinks would need dental treatment: Yes,Male,95% Lower Confidence Limit,35
Scotland,2009,Thinks would need dental treatment: Yes,Male,95% Upper Confidence Limit,38.9
Scotland,2009,Toothache/mouth pain in last month: No,All,Percent,77
Scotland,2009,Toothache/mouth pain in last month: No,All,95% Lower Confidence Limit,75.4
Scotland,2009,Toothache/mouth pain in last month: No,All,95% Upper Confidence Limit,77.8
Scotland,2009,Toothache/mouth pain in last month: No,Female,Percent,74
Scotland,2009,Toothache/mouth pain in last month: No,Female,95% Lower Confidence Limit,72.7
Scotland,2009,Toothache/mouth pain in last month: No,Female,95% Upper Confidence Limit,75.7
Scotland,2009,Toothache/mouth pain in last month: No,Male,Percent,79
Scotland,2009,Toothache/mouth pain in last month: No,Male,95% Lower Confidence Limit,77.8
Scotland,2009,Toothache/mouth pain in last month: No,Male,95% Upper Confidence Limit,80.9
Scotland,2009,Toothache/mouth pain in last month: No natural teeth,All,Percent,12
Scotland,2009,Toothache/mouth pain in last month: No natural teeth,All,95% Lower Confidence Limit,10.9
Scotland,2009,Toothache/mouth pain in last month: No natural teeth,All,95% Upper Confidence Limit,12.7
Scotland,2009,Toothache/mouth pain in last month: No natural teeth,Female,Percent,14
Scotland,2009,Toothache/mouth pain in last month: No natural teeth,Female,95% Lower Confidence Limit,12.9
Scotland,2009,Toothache/mouth pain in last month: No natural teeth,Female,95% Upper Confidence Limit,15.2
Scotland,2009,Toothache/mouth pain in last month: No natural teeth,Male,Percent,9
Scotland,2009,Toothache/mouth pain in last month: No natural teeth,Male,95% Lower Confidence Limit,8.3
Scotland,2009,Toothache/mouth pain in last month: No natural teeth,Male,95% Upper Confidence Limit,10.4
Scotland,2009,Toothache/mouth pain in last month: Yes,All,Percent,12
Scotland,2009,Toothache/mouth pain in last month: Yes,All,95% Lower Confidence Limit,10.6
Scotland,2009,Toothache/mouth pain in last month: Yes,All,95% Upper Confidence Limit,12.5
